assessment_id,assessment_name,assessment_type,skills_measured,job_roles,description,duration,source
1,Numerical Reasoning Test,Cognitive,"Numerical ability,Data interpretation,Analytical thinking","Data Analyst,Business Analyst,Finance Executive","Measures ability to analyze numerical data, interpret charts and tables, and draw logical conclusions",25,SHL Public Catalogue
2,Verbal Reasoning Test,Cognitive,"Reading comprehension,Logical reasoning,Critical thinking","Consultant,Manager,HR","Assesses understanding, evaluation, and interpretation of written information",20,SHL Public Catalogue
3,Logical Reasoning Test,Cognitive,"Problem solving,Pattern recognition,Abstract reasoning","Software Engineer,Analyst","Evaluates the ability to identify patterns, relationships, and logical rules",30,SHL Public Catalogue
4,Personality Questionnaire,Personality,"Behavioral traits,Work style,Interpersonal skills","HR,Leadership roles","Measures personality traits, work preferences, and behavioral tendencies in workplace scenarios",35,SHL Public Catalogue
5,Occupational Personality Questionnaire (OPQ),Personality,"Leadership,Teamwork,Decision making","Manager,Team Lead","Assesses behavioral preferences and how individuals typically behave at work",40,SHL Public Catalogue
6,Inductive Reasoning Test,Cognitive,"Abstract thinking,Learning agility,Problem solving","Graduate Trainee,Engineer","Measures ability to work flexibly with unfamiliar information and identify underlying rules",25,SHL Public Catalogue
7,Mechanical Reasoning Test,Cognitive,"Mechanical comprehension,Applied physics","Mechanical Engineer,Technician","Assesses understanding of mechanical and physical principles through practical problems",30,SHL Public Catalogue
8,Situational Judgement Test (SJT),Behavioral,"Decision making,Ethical judgment,Workplace behavior","Customer Support,Supervisor","Evaluates responses to realistic workplace scenarios to assess judgement and decision-making",35,SHL Public Catalogue
9,Attention to Detail Test,Cognitive,"Accuracy,Concentration,Error detection","Quality Analyst,Data Entry Operator","Measures ability to detect errors, maintain focus, and work accurately under time pressure",20,SHL Public Catalogue
10,Leadership Assessment,Behavioral,"Leadership skills,People management,Strategic thinking","Manager,Senior Executive","Assesses leadership potential, people management capabilities, and strategic decision-making",45,SHL Public Catalogue
